,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
0,cabane ," Traînel, France",Room,1,yes,2,1.0,4.97,61.0,115.0,Julien,5 mois,Grand Est,"propre, calme, cosy"
1,Grotte ," Noyers-sur-Cher, France",Room,1,no,4,1.0,4.82,417.0,152.0,Sandrine,depuis 10 ans,Centre-Val de Loire,"atypique, expérience, château"
2,appartement ," Rouen, France",Room,1,no,2,1.0,4.93,165.0,120.0,Claire,depuis 7 ans,Normandie,"atypique, propre, sauna"
3,maison d'hôtes ," Ussel, France",Room,1,yes,2,1.0,4.93,457.0,32.0,Christophe,depuis 5 ans,Nouvelle-Aquitaine,"calme, terrasse, cosy"
4,hébergement ," Valras-Plage, France",Room,1,yes,2,2.0,4.93,84.0,207.0,Amandine Et Maxime,depuis 3 ans,Occitanie,"spa, cocooning, décoration"
5,Tiny house ," Badonviller, France",Room,1,yes,2,1.0,5.0,31.0,124.0,Audrey,4 mois,Grand Est,"sauna, spa, nature"
6,hébergement ," Renac, France",Room,1,yes,2,1.0,4.97,206.0,132.0,Marine Et Bastien De Alcôve Conciergerie,8 mois,Bretagne,"ambiance, propre, attention"
7,appartement ," Chessy, France",Room,1,yes,4,1.0,4.99,190.0,158.0,Elodie,,Île-de-France,"espace, spa, propre"
8,loft ," La Seyne-sur-Mer, France",Room,1,no,4,1.0,5.0,10.0,176.0,Le 11 En Seyne,depuis 3 ans,Provence-Alpes-Côte d'Azur,"romantique, escapad, ambiance"
9,chalet ," Épinal, France",Room,1,no,2,1.0,4.99,146.0,155.0,Marine,depuis 3 ans,Grand Est,"marine, déjeuner, calme"
10,hébergement ," Rocquigny, France",Studio,0,yes,2,1.0,5.0,204.0,118.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Hauts-de-France,"déjeuner, sauna, attention"
11,hébergement ," Chézery-Forens, France",Room,1,no,2,1.0,4.93,89.0,70.0,Gaelle,,Auvergne-Rhône-Alpes,"nature, déjeuner, calme"
12,Grotte ," Trilport, France",Room,1,yes,2,1.0,4.98,91.0,136.0,Clémentin,5 mois,Île-de-France,"atypique, expérience, propre"
13,Tiny house ," Graves-Saint-Amant, France",Room,1,yes,2,1.0,4.99,134.0,142.0,Heather Et Thomas,depuis 3 ans,Nouvelle-Aquitaine,"calme, nature, équipée"
14,cottage ," Gouloux, France",Room,1,yes,3,1.0,5.0,338.0,56.0,Françoise Et Sébastien,depuis 3 ans,Bourgogne-Franche-Comté,"attention, bois, confortable"
15,hébergement ," Oberbronn, France",Room,1,yes,2,1.0,4.98,132.0,95.0,Jennifer Et Eric,depuis 3 ans,Grand Est,"remou, attention, ambiance"
16,appartement ," Saint-Saturnin-lès-Avignon, France",Room,1,yes,2,1.0,5.0,9.0,108.0,Mickael,1 mois,Provence-Alpes-Côte d'Azur,"sauna, décoration, bulle"
17,chalet ," Amoncourt, France",Room,2,no,4,1.0,4.98,84.0,90.0,Adiana,depuis 2 ans,Bourgogne-Franche-Comté,"accueillant, cabane, nature"
18,appartement ," Six-Fours-les-Plages, France",Studio,0,yes,4,1.0,4.91,341.0,65.0,Julia,depuis 7 ans,Provence-Alpes-Côte d'Azur,"vue, studio, plage"
19,Grange ," Guewenheim, France",Room,1,yes,2,1.0,5.0,28.0,150.0,Karine Et Laurent,4 mois,Grand Est,"sauna, remou, spa"
20,chalet ," Amoncourt, France",Room,2,no,4,1.0,4.98,84.0,90.0,Adiana,depuis 2 ans,Bourgogne-Franche-Comté,"accueillant, cabane, nature"
21,Grange ," Guewenheim, France",Room,1,yes,2,1.0,5.0,28.0,150.0,Karine Et Laurent,4 mois,Grand Est,"sauna, remou, spa"
22,Tiny house ," Saint-Julien-le-Roux, France",Room,2,yes,3,1.0,4.98,106.0,83.0,Noémie,depuis 3 ans,Auvergne-Rhône-Alpes,"vue, nature, terrasse"
23,appartement ," Six-Fours-les-Plages, France",Studio,0,yes,4,1.0,4.91,341.0,65.0,Julia,depuis 7 ans,Provence-Alpes-Côte d'Azur,"vue, studio, plage"
